
Running 3 profiles...

  Profile 0: {'B': 1, 'D': 1536, 'S': 2048, 'W': 4, 'seed': 2146}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         7.27%       8.518ms         8.47%       9.932ms       2.483ms      17.729us        46.21%      26.786us       6.697us             4  
                                         _helion_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.088us        44.54%      17.088us      17.088us             1  
                                  Lazy Function Loading         0.05%      63.703us         0.05%      63.703us      21.234us      12.608us        32.86%      12.608us       4.203us             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.057us        23.61%       9.057us       9.057us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       8.672us        22.60%       8.672us       2.891us             3  
                                            aten::fill_         3.27%       3.832ms         5.79%       6.788ms       6.788ms       3.551us         9.26%       7.102us       7.102us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.551us         9.26%       3.551us       3.551us             1  
                                            aten::clone         0.05%      56.574us         1.63%       1.908ms     636.009us       0.000us         0.00%       8.672us       2.891us             3  
                                    aten::empty_strided        32.87%      38.536ms        35.66%      41.805ms     259.660us       0.000us         0.00%       0.000us       0.000us           161  
                                Activity Buffer Request         1.34%       1.566ms         1.34%       1.566ms       1.566ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.01%      15.122us         0.01%      15.122us       5.041us       0.000us         0.00%       0.000us       0.000us             3  
                                             cudaMalloc         0.33%     391.694us         0.33%     391.694us     130.565us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaMemcpyAsync         0.04%      43.437us         0.04%      43.437us      14.479us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::pad         0.02%      19.872us        14.36%      16.837ms      16.837ms       0.000us         0.00%      25.216us      25.216us             1  
                                  aten::constant_pad_nd         0.05%      56.020us        14.34%      16.817ms      16.817ms       0.000us         0.00%      25.216us      25.216us             1  
                                            aten::empty         4.60%       5.398ms        32.44%      38.032ms     520.992us       0.000us         0.00%       0.000us       0.000us            73  
                                       cudaLaunchKernel         3.66%       4.285ms         3.69%       4.326ms       2.163ms       0.000us         0.00%      12.608us       6.304us             2  
                                           aten::narrow         0.02%      25.197us         0.04%      46.640us      46.640us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.01%      16.647us         0.02%      21.443us      21.443us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.09%     104.440us         0.09%     104.440us      14.920us       0.000us         0.00%       0.000us       0.000us             7  
