
Running 3 profiles...

  Profile 0: {'B': 1, 'D': 1536, 'S': 2048, 'W': 4, 'seed': 2146}
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         _helion_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.544us        45.83%      16.544us      16.544us             1  
                                            aten::copy_         7.37%       8.308ms         8.60%       9.684ms       2.421ms      16.256us        45.04%      25.280us       6.320us             4  
                                  Lazy Function Loading         0.05%      61.807us         0.05%      61.807us      20.602us      12.320us        34.13%      12.320us       4.107us             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       9.024us        25.00%       9.024us       9.024us             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       7.232us        20.04%       7.232us       2.411us             3  
                                            aten::fill_         3.32%       3.741ms         5.88%       6.627ms       6.627ms       3.296us         9.13%       6.592us       6.592us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.296us         9.13%       3.296us       3.296us             1  
                                            aten::clone         0.05%      52.069us         1.65%       1.856ms     618.819us       0.000us         0.00%       7.232us       2.411us             3  
                                    aten::empty_strided        33.25%      37.455ms        35.99%      40.537ms     251.780us       0.000us         0.00%       0.000us       0.000us           161  
                                Activity Buffer Request         1.37%       1.549ms         1.37%       1.549ms       1.549ms       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaStreamIsCapturing         0.00%       4.149us         0.00%       4.149us       1.383us       0.000us         0.00%       0.000us       0.000us             3  
                                             cudaMalloc         0.30%     341.884us         0.30%     341.884us     113.961us       0.000us         0.00%       0.000us       0.000us             3  
                                        cudaMemcpyAsync         0.04%      41.962us         0.04%      41.962us      13.987us       0.000us         0.00%       0.000us       0.000us             3  
                                              aten::pad         0.02%      19.711us        14.58%      16.421ms      16.421ms       0.000us         0.00%      24.640us      24.640us             1  
                                  aten::constant_pad_nd         0.05%      53.929us        14.56%      16.401ms      16.401ms       0.000us         0.00%      24.640us      24.640us             1  
                                            aten::empty         4.54%       5.109ms        32.04%      36.090ms     494.381us       0.000us         0.00%       0.000us       0.000us            73  
                                       cudaLaunchKernel         3.71%       4.179ms         3.75%       4.220ms       2.110ms       0.000us         0.00%      12.320us       6.160us             2  
                                           aten::narrow         0.02%      24.358us         0.04%      44.627us      44.627us       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::slice         0.01%      16.003us         0.02%      20.269us      20.269us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.09%      95.993us         0.09%      95.993us      13.713us       0.000us         0.00%       0.000us       0.000us             7  
